,de1,de2
0,FRANZ KAFKA Franz Kafka  ,"Franz Kafka, von neuem gewürdigt  "
1,"Als Franz Kafka, ein Jude deutscher Sprache aus Prag, einundvierzigjährig im Sommer des Jahres 1924 an der Schwindsucht starb, war sein Werk nur einem kleinen Kreis von Schriftstellern und einem noch kleineren Kreis von Lesern bekannt.","Vor gut zwanzig Jahren, im Sommer 1924, starb Franz Kafka im Alter von 44 Jahren."
2,Seither ist sein Ruf langsam und stetig gewachsen,"Während der folgenden Jahre wuchs sein Ruf ständig in Deutschland und Österreich, seit 1930 auch in Frankreich, England und Amerika.
alle sind betroffen von dem Neuartigen seiner Erzählerkunst, von etwas spezifisch Modernem, das sonst nirgends in der gleichen Stärke und Unzweideutigkeit erscheint."
3,in den zwanziger Jahren war er bereits einer der wichtigsten Autoren der Avantgarde in Deutschland und Österreich,
4,"in den dreißiger und vierziger Jahren erreichte sein Werk genau die gleichen Leser- und Schriftstellerschichten in Frankreich, England und Amerika.",
5,"Die spezifische Qualität seines Ruhmes änderte sich in keinem Lande und in keinem Jahrzehnt: immer wieder stand die Auflagenhöhe seiner Werke in keinem Verhältnis zu der immer noch anwachsenden Literatur über ihn oder zu dem immer noch sich vertiefenden und verbreiternden Einfluß, den dieses Werk auf die Schriftsteller der Zeit ausübt.","Das gemeinsame Erlebnis der Leser Kafkas ist eine allgemeine, unbestimmbare Bezauberung, sogar bei Erzählungen, die sie nicht verstehen, eine klare Erinnerung an merkwürdige und scheinbar unsinnige Bilder und Beschreibungen, - bis sich ihnen eines Tages der verborgene Sinn mit der plötzlichen Deutlichkeit einer einfachen und unangreifbaren Wahrheit enthüllt.    "
6,"Es ist durchaus charakteristisch für die Wirkung der Kafkaschen Prosa, daß die verschiedensten »Schulen« ihn für sich in Anspruch zu nehmen suchen;","Beginnen wir mit dem Roman Der Prozeß, über den eine kleine Bibliothek von Auslegungen veröffentlicht worden ist."
7,"es ist, als ob niemand, der sich für »modern« hält, an diesem Werke vorbeigehen könnte, weil hier so offenbar etwas spezifisch Neues am Werk ist, das nirgendwo sonst in der gleichen Intensität und mit der gleichen rücksichtslosen Einfachheit bisher zu Tage getreten ist.",
8,"Dies ist sehr überraschend, weil Kafka im Gegensatz zu anderen modernen Autoren sich von allen Experimenten und allen Manierismen fern gehalten hat.","Im Falle des K. wird die Unterwerfung nicht durch Gewalt erreicht, sondern einfach durch das wachsende Schuldgefühl, das die unbegründete Anschuldigung im beschuldigten Menschen erweckt."
9,"Seine Sprache ist klar und einfach wie die Sprache des Alltags, nur gereinigt von Nachlässigkeit und Jargon.",
10,Zu der unendlichen Vielfalt möglicher Sprachstile verhält sich das Kafkasche Deutsch wie Wasser sich verhält zu der unendlichen Vielfalt möglicher Getränke.,
11,"Seine Prosa scheint durch nichts Besonderes ausgezeichnet, sie ist nirgends in sich selbst bezaubernd oder betörend;","Und da K., ein vielbeschäftigter Bankangestellter, nie Zeit gehabt hat, über solche allgemeinen Prinzipien nachzudenken, wird er veranlaßt, gewisse ihm unbekannte Bezirke seines Ichs zu erforschen."
12,"sie ist vielmehr reinste Mitteilung und ihr einziges Charakteristikum ist, daß - sieht man genauer zu - es sich immer wieder herausstellt, daß man dies Mitgeteilte einfacher und klarer und kürzer keinesfalls hätte mitteilen können.","Dies wiederum führt ihn in Verwirrung, zur Verwechselung des organisierten und bösartigen Übels seiner Umwelt mit dem notwendigen Ausdruck jener allgemeinen Schuld, die harmlos und beinahe unschuldig ist, verglichen mit dem bösen Willen, der »die Lüge zur Weltordnung« macht und sogar des Menschen gerechtfertigte Demut braucht und mißbraucht."
13,"Der Mangel an Manieriertheit ist hier fast bis an die Grenze der Stillosigkeit, der Mangel an Verliebtheit in Worte als solche fast bis an die Grenze der Kälte getrieben.","Diese innere Entwicklung des Helden - seine éducation sentimentale - macht die zweite Schicht der Erzählung aus, die das Funktionieren der bürokratischen Maschine begleitet."
14,"Kafka kennt keine Lieblingsworte, keine bevorzugten syntaktischen Konstruktionen.","Die Ereignisse der Außenwelt und die innere Entwicklung treffen endlich in der letzten Szene der Hinrichtung zusammen, einer Hinrichtung, der sich K., obwohl sie grundlos stattfindet, ohne Sträuben unterwirft."
15,"Das Resultat ist eine neue Art der Vollkommenheit, die von allen Stilen der Vergangenheit gleich weit entfernt zu sein scheint.","Daß der Prozeß eine Kritik der bürokratischen Regierungsform der Vorkriegs-Verwaltung Österreichs enthält, dessen zahlreiche und sich bekämpfende Nationalitäten durch eine gleichförmige Beamtenhierarchie regiert wurden, ist seit dem ersten Erscheinen des Romans begriffen worden."
16,Es gibt in der Geschichte der Literatur kaum ein überzeugenderes Beispiel für die Verkehrtheit der Theorie vom »verkannten Genie« als die Tatsache des Kafkaschen Ruhmes.,"Kafka, Angestellter einer Arbeiterversicherungsgesellschaft und ein treuer Freund vieler osteuropäischer Juden, denen er die Genehmigung, in Österreich zu bleiben, verschaffen mußte, hatte eine sehr genaue Kenntnis der politischen Zustände seines Landes."
17,"In diesem Werk gibt es nicht eine Zeile und nicht eine einzige Geschichts-Konstruktion, die dem Leser, so wie er sich im Verlauf des vorigen Jahrhunderts herausgebildet hat, in seiner Suche nach »Unterhaltung und Belehrung« (Broch) entgegenkäme.","Dem Publikum der zwanziger Jahre schien das Übel der Bürokratie nicht groß genug zu sein, als daß es das Entsetzen und den Schrecken erklärlich machte, die im Roman zum Ausdruck kommen."
18,"Das einzige, was den Leser in Kafkas Werk lockt und verlockt, ist die Wahrheit selbst, und diese Verlockung ist Kafka in seiner stil-losen Vollkommenheit -- jeder »Stil« würde durch seinen eigenen Zauber von der Wahrheit ablenken -- bis zu dem unglaublichen Grade geglückt, daß seine Geschichten auch dann in Bann schlagen, wenn der Leser ihren eigentlichen Wahrheitsgehalt erst einmal nicht begreift.","Sie suchten daher nach anderen, scheinbar tieferen Auslegungen und fanden sie, nach der damaligen Mode, in einer geheimnisvollen Darstellung religiöser Realität, dem Ausdruck einer schrecklichen Theologie."
19,"Kafkas eigentliche Kunst besteht darin, daß der Leser eine unbestimmte, vage Faszination, die sich mit der unausweichlich klaren Erinnerung an bestimmte, erst scheinbar sinnlose Bilder und Begebenheiten paart, so lange aushält und sie so entscheidend in sein Leben mitnimmt, daß ihm irgendwann einmal, auf Grund irgendeiner Erfahrung plötzlich die wahre Bedeutung der Geschichte sich enthüllt mit der zwingenden Leuchtkraft der Evidenz.   ","Kafka hatte wirklich eine Gesellschaft gezeichnet, die sich als Stellvertretung Gottes eingesetzt hatte, und beschrieb Menschen, die die Gesetze der Gesellschaft als göttlich betrachteten - unwandelbar durch den menschlichen Willen."
20,"Der Prozeß, über den eine kleine Bibliothek von Auslegungen in den zwei Jahrzehnten, die seit seinem Erscheinen verstrichen sind, veröffentlicht worden ist, ist die Geschichte des Mannes K., der angeklagt ist, ohne zu wissen, was er getan hat, dem ein Prozeß gemacht wird, ohne daß er herausfinden kann, nach welchen Gesetzen der Prozeß und das Urteil gehandhabt werden, und der schließlich hingerichtet wird, ohne je erfahren zu haben, worum es sich eigentlich gehandelt hat.","Mit anderen Worten, was an der Welt, in der Kafkas Helden verstrickt sind, falsch ist, ist gerade ihre Vergöttlichung, ihre Anmaßung, eine göttliche Notwendigkeit darzustellen."
21,"Auf der Suche nach dem wahren Grund dieser Begebenheit findet er erst einmal heraus, daß hinter seiner Verhaftung »eine große Organisation sich befindet.","Kafka will diese Welt zerstören, indem er ihre scheußliche und verborgene Struktur aufdeckt, indem er Wirklichkeit und Anspruch einander gegenüberstellt."
22,"Eine Organisation, die nicht nur bestechliche Wächter, läppische Aufseher und Untersuchungsrichter, die günstigsten Falles bescheiden sind, beschäftigt, sondern die weiterhin jedenfalls eine Richterschaft hohen und höchsten Grades unterhält, mit dem zahllosen, unumgänglichen Gefolge von Dienern, Schreibern, Gendarmen und anderen Hilfskräften, vielleicht sogar Henkern...","Aber der moderne Leser - oder wenigstens der Leser der zwanziger Jahre, der sich durch Paradoxe als solche bezaubern ließ und von bloßen Gegensätzen angezogen wurde, wollte nicht mehr auf Vernunft hören."
23,Und der Sinn dieser großen Organisation...?,
24,"Er besteht darin, daß unschuldige Personen verhaftet werden und gegen sie ein sinnloses und meistens, wie in meinem Fall, ergebnisloses Verfahren eingeleitet wird«.","Sein Verständnis für Kafka offenbart mehr über ihn selber als über Kafka, es enthüllt seine Eignung für diese Gesellschaft, sei es auch die Eignung einer »Elite«.
Dieser Leser bleibt völlig ernst bei dem Sarkasmus Kafkas, von der lügnerischen Notwendigkeit und der notwendigen Lüge als einem göttlichen Gesetz.    
Kafkas nächster großer Roman, Das Schloß, führt uns in dieselbe Welt, die diesmal nicht durch die Augen eines Menschen gesehen wird, der sich am Ende der Notwendigkeit unterwirft und von ihrer Regierung nur erfährt, weil er von ihr verurteilt wird, sondern durch die Augen eines ganz anderen K. Dieser K. kommt aus freiem Willen zu ihr, als Fremder, und will einen sehr bestimmten Zweck erreichen:"
25,"Als K. merkt, daß solche Verfahren trotz ihrer Sinnlosigkeit nicht unbedingt ergebnislos zu verlaufen brauchen, nimmt er sich einen Rechtsanwalt, der ihm in langen Reden auseinandersetzt, auf welche Weise man sich den bestehenden Zuständen anpassen kann und wie unvernünftig es sei, sie zu kritisieren.",
26,"K., der sich nicht fügen will und seinen Advokaten entläßt, trifft mit dem Gefängnisgeistlichen zusammen, der ihm die verborgene Größe des Systems predigt und ihm anrät, nicht mehr nach der Wahrheit zu fragen, denn »man muß nicht alles für wahr halten, man muß es nur für notwendig halten«.","er will sich niederlassen, ein Mitbürger werden, sein Leben aufbauen und heiraten, Arbeit finden und ein nützliches Mitglied der Gesellschaft werden.  "
27,"Mit anderen Worten, wenn der Advokat sich nur bemühte zu demonstrieren:",
28,"So ist die Welt, hat der von dieser Welt angestellte Geistliche die Aufgabe zu erweisen:",
29,Dies ist die Weltordnung.,"Aber während er nichts weiter verlangt, ist es klar, daß er sich auch mit nichts Anderem begnügen wird."
30,Und da K. dies für eine »trübselige Meinung« hält und erwidert:,"aber Beschäftigung, »geregelte Arbeit«, verlangt er als sein Recht."
31,"»Die Lüge wird zur Weltordnung gemacht«, ist es klar, daß er seinen Prozeß verlieren wird;","Seine Schwierigkeiten beginnen, weil nur das Schloß seine Forderungen erfüllen kann;"
32,"da andererseits dies nicht »sein Endurteil« war und er versuchte, die »ungewohnten Gedankengänge« als »unwirkliche Dinge«, die ihn im Grunde nichts angingen, abzuweisen, verliert er nicht nur den Prozeß, sondern verliert ihn auf eine schmähliche Weise, so daß er schließlich der Hinrichtung nichts entgegenzusetzen hat als seine Scham.","und das Schloß wird das entweder als Gunstbezeigung tun oder wenn er einwilligt, in seinen Geheimdienst einzutreten:
- »ein scheinbarer Dorfarbeiter, der in Wirklichkeit sein ganzes Arbeitsverhältnis von den Nachrichten des Barnabas« - das ist der Bote des Hofes - »bestimmen ließ."
33,"Die Macht der Maschine, die K. ergreift und umbringt, ist nichts anderes als Schein der Notwendigkeit, der sich realisieren kann durch die Bewunderung der Menschen für Notwendigkeit.","Da seine Forderungen nichts anderes sind als die unveräußerlichen Menschenrechte, kann er sie nicht als Gunstbezeigung des Schlosses annehmen."
34,"Die Maschine kommt in Gang, weil Notwendigkeit für etwas Erhabenes gehalten wird und weil ihr Automatismus, der nur von Willkür unterbrochen wird, für das Sinnbild der Notwendigkeit genommen wird.",An diesem Punkt treten die Dorfleute auf
35,"Die Maschine wird in Gang gehalten durch die Lügen um der Notwendigkeit willen, so daß in voller Konsequenz ein Mann, der sich nicht dieser »Weltordnung«, dieser Maschinerie unterwerfen will, als Verbrecher gegen eine Art göttlicher Ordnung angesehen wird.","sie suchen K. davon zu überzeugen, daß ihm die Erfahrung fehle und daß er nicht wisse, daß das ganze Leben aus Gnade und Ungnade, aus Gunst und Mißgunst besteht und davon beherrscht wird, - beide so unverständlich und zufällig wie Glück und Unglück."
36,"Solche Unterwerfung ist dann erreicht, wenn die Frage nach Schuld und Unschuld völlig verstummt und an ihre Stelle die Entschlossenheit getreten ist, die von der Willkür befohlene Rolle im Spiel der Notwendigkeit zu spielen.","Im Recht oder im Unrecht zu sein, das sei ein Teil des »Geschickes«, versuchen sie ihm zu erklären, des Geschickes, das niemand ändern, das man nur erfüllen kann."
37,"Im Falle des Prozeß wird die Unterwerfung nicht durch Gewalt erreicht, sondern einfach durch das wachsende Schuldgefühl, das die unbegründete leere Anschuldigung im angeklagten K. erweckt.",K.s Fremdheit bekommt so eine weitere Bedeutung:
38,"Dieses Gefühl beruht natürlich letzten Endes auf der Tatsache, daß kein Mensch frei von Schuld ist.","er ist nicht nur fremd, weil er weder zum Dorf noch zum Schloß gehört, sondern weil er der einzige Normale und Gesunde in einer Welt ist, wo alles Menschliche und Normale, wo Liebe, Arbeit, Kameradschaft gewaltsam aus der Hand des Menschen gerissen wurden, um als Gabe von außen verliehen zu werden - oder, wie sich K. ausdrückt, von oben."
39,"Im Falle des K., der, ein vielbeschäftigter Bankbeamter, nie Zeit gehabt hat, über solche Allgemeinheiten sich den Kopf zu zerbrechen, wird dies Schuldgefühl zum eigentlichen Verhängnis;","Ob Schicksal, Segen oder Fluch, jedenfalls ist es etwas Geheimnisvolles, etwas, das der Mensch entgegennehmen kann oder das ihm verweigert wird, das er aber nie selber schaffen kann."
