;de1;en
0;FRANZ KAFKA Franz Kafka  ;The greater the military defeats of the “Wehrmacht” in the field, the greater becomes that victory of Nazi political warfare which is so often incorrectly described as mere propaganda.
1;Als Franz Kafka, ein Jude deutscher Sprache aus Prag, einundvierzigjährig im Sommer des Jahres 1924 an der Schwindsucht starb, war sein Werk nur einem kleinen Kreis von Schriftstellern und einem noch kleineren Kreis von Lesern bekannt.;It is the central thesis of this Nazi political strategy that there is no difference between Nazis and Germans, that the people stand united behind the government, that all Allied hopes of finding part of the people uninfected ideologically and all appeals to a democractic Germany of the future are pure illusion.
2;Seither ist sein Ruf langsam und stetig gewachsen;The implication of this thesis is, of course, that there is no distinction as to responsbility, that German anti-Fascists will suffer from defeat equally with German Fascists, and that the Allies had made such distinctions at the beginning of the war only for propoganda purposes.
3;in den zwanziger Jahren war er bereits einer der wichtigsten Autoren der Avantgarde in Deutschland und Österreich;A further implication is that Allied provisions for punishment of war criminals will turn out to be empty threats because they find no one to whom the title of war criminal could not be applied.   
4;in den dreißiger und vierziger Jahren erreichte sein Werk genau die gleichen Leser- und Schriftstellerschichten in Frankreich, England und Amerika.;That such claims are not mere propaganda but are supported by very real and fearful facts, we have all learned in the past seven years.
5;Die spezifische Qualität seines Ruhmes änderte sich in keinem Lande und in keinem Jahrzehnt: immer wieder stand die Auflagenhöhe seiner Werke in keinem Verhältnis zu der immer noch anwachsenden Literatur über ihn oder zu dem immer noch sich vertiefenden und verbreiternden Einfluß, den dieses Werk auf die Schriftsteller der Zeit ausübt.;The terror-organizations which were at first strictly separated from the mass of the people, admitting only persons who could show a criminal past or prove their preparedness to become criminals, have since been continually expanded.
6;"Es ist durchaus charakteristisch für die Wirkung der Kafkaschen Prosa, daß die verschiedensten »Schulen« ihn für sich in Anspruch zu nehmen suchen;";The ban on party membership for members of the army has been dissolved by the general order which subordinates all soldiers to the party.
7;es ist, als ob niemand, der sich für »modern« hält, an diesem Werke vorbeigehen könnte, weil hier so offenbar etwas spezifisch Neues am Werk ist, das nirgendwo sonst in der gleichen Intensität und mit der gleichen rücksichtslosen Einfachheit bisher zu Tage getreten ist.;Whereas those crimes which have always been a part of the daily routine of concentration camps since the beginning of the Nazi regime were at first a jealously guarded monopoly of the SS and Gestapo, today members of the Wehrmacht are assigned at will to duties of mass murder.
8;Dies ist sehr überraschend, weil Kafka im Gegensatz zu anderen modernen Autoren sich von allen Experimenten und allen Manierismen fern gehalten hat.;These crimes were at first kept secret by every possible means and any publication of such reports was made punishable as atrocity propaganda.
9;Seine Sprache ist klar und einfach wie die Sprache des Alltags, nur gereinigt von Nachlässigkeit und Jargon.;Later, however, such reports were spread by Nazi-organized whispering campaigns and today these crimes are openly proclaimed under the title of “measures of liquidation” in order to force “Volksgenossen” whom difficulties of organization made it impossible to induct into the “Volksgemeinschaft” of crime at least to bear the onus of complicity and awareness of what was going on.
